flux,scheme,N,best_omp_threads,serial_total_ms,best_omp_total_ms,simd_total_ms,best_omp_speedup_pct,simd_speedup_pct
lwr,lax_friedrichs,500000,4,6.31167,8.224,2.75833,-30.2984,56.2979
lwr,lax_friedrichs,1000000,8,12.689,14.51,5.59533,-14.351,55.9041
lwr,leapfrog,20,1,0.00166667,0.009,0.0,-440.0,100.0
lwr,leapfrog,1000,1,0.0143333,0.05,0.00566667,-248.837,60.4651
lwr,leapfrog,10000,1,0.130333,0.439,0.0543333,-236.829,58.312
lwr,leapfrog,100000,4,1.35767,3.109,0.513,-128.996,62.2146
lwr,leapfrog,500000,8,6.645,8.436,2.659,-26.9526,59.985
lwr,leapfrog,1000000,8,14.0073,14.5857,5.39467,-4.12879,61.4868
trilinear,lax_friedrichs,20,1,0.00166667,0.015,0.00133333,-800.0,20.0
trilinear,lax_friedrichs,1000,1,0.04,0.114,0.0373333,-185.0,6.66667
trilinear,lax_friedrichs,10000,1,0.378333,1.04,0.373667,-174.89,1.23348
trilinear,lax_friedrichs,100000,4,3.748,5.178,3.726,-38.1537,0.58698
trilinear,lax_friedrichs,500000,4,18.81,15.8133,18.7173,15.9312,0.492646
trilinear,lax_friedrichs,1000000,8,37.675,27.529,37.4563,26.9303,0.580403
trilinear,leapfrog,20,1,0.00166667,0.0136667,0.001,-720.0,40.0
trilinear,leapfrog,1000,1,0.0343333,0.105,0.032,-205.825,6.79612
trilinear,leapfrog,10000,1,0.339,0.968333,0.296667,-185.644,12.4877
trilinear,leapfrog,100000,4,3.40967,4.97033,2.94167,-45.7718,13.7257
trilinear,leapfrog,500000,4,17.2353,15.0043,14.9103,12.9443,13.4897
trilinear,leapfrog,1000000,8,34.4453,25.2473,30.2477,26.7032,12.1865
